Symbol	Description
AZJKOP	Aurizon Holdings Limited
AZJKOS	Aurizon Holdings Limited
AZJKOT	Aurizon Holdings Limited
AZL	Anzoil Nl
AZLO	AZLO
AZS	Azure Minerals Ltd
AZY	Antipa Minerals Limited
B4P	Beforepay Group Limited
BAP	Burson Group Limited
BAPKOB	Bapcor Limited
BAPKOR	Bapcor Limited
BAS	Bass Strait Oil Company Ltd
BASO	Bass Strait Oil Company Limited
BAT	Battery Minerals Limited
BATO	Battery Minerals Limited
BBC	Babcock & Brown Communities Group
BBL	Brisbane Broncos Ltd
BBN	Baby Bunting Group Limited
BBOZ	Betashares Australian Equities Strong Bear Hedge F
BBT	Bluebet Holdings Ltd
BBUS	Betashares U.s. Equities Strong Bear Fund
BBX	BBX Holdings Ltd
BBXOA	Bbx Minerals Limited
BC8	Black Cat Syndicate Limited
BCA	Baycorp Advantage Ltd
BCB	Bowen Coking Coal Limited
BCC	Buccaneer Energy Ltd
BCI	BC Iron Ltd
BCK	Brockman Mining Limited
BCN	Beacon Minerals Ltd
BCNOB	Beacon Minerals Limited
BCT	Bluechiip Limited
BDG	Bendigo Mining Ltd
BDM	Biodiem Ltd
BDT	Birddog Technology Limited
BDX	Bcal Diagnostics Limited
BEAR	Betashares Australian Equities Bear Hedge Fund
BEE	Broo Ltd
BEEO	BEEO
BEL	Bentley International Ltd
BEM	Blackearth Minerals Nl
BEN	Bendigo Bank Ltd
BENKOB	Bendigo And Adelaide Bank Limited
BENKOC	Bendigo And Adelaide Bank Limited
BENKOD	Bendigo And Adelaide Bank Limited
BENKOQ	Bendigo And Adelaide Bank Limited
BENKOT	Bendigo And Adelaide Bank Limited
BENPG	Bendigo And Adelaide Bank Limited
BENPH	BENPH
BET	Belmont Holdings Ltd
BEX	Bikeexchange Limited
BEZ	Besra Gold Inc
BFC	Beston Global Food Company Limited
BFG	Bell Financial Group Ltd
BFL	Bsp Financial Group Limited
BGA	Bega Cheese Limited
BGD	Boulder Steel Ltd
BGL	Bigair Group Ltd
BGP	Briscoe Group Australasia Limited
BGT	Bio-gene Technology Ltd
BHD	Benjamin Hornigold Limited
BHP	BHP Billiton Ltd
BHPKOA	Bhp Billiton Limited
BHPKOB	Bhp Billiton Limited
BHPKOC	Bhp Billiton Limited
BHPKOG	Bhp Billiton Limited
BHPKOH	Bhp Billiton Limited
BHPKOI	Bhp Billiton Limited
BHPKOO	Bhp Billiton Limited
BHPKOR	Bhp Billiton Limited
BHPKOS	Bhp Billiton Limited
BHPKOT	Bhp Billiton Limited
BHPKOU	Bhp Billiton Limited
BHPKOV	Bhp Billiton Limited
BHPKOW	Bhp Billiton Limited
BHPKOZ	Bhp Billiton Limited
BHPMOP	Bhp Billiton Limited
BHPMOR	Bhp Billiton Limited
BHYB	BHYB
BID	Bidenergy Limited
BILL	Ishares Core Cash
BIM	Bindi Metals Limited
BIO	Biome Australia Limited
BIQ	Buildingiq Inc
BIR	Burswood
BIS	
BIT	Biotron Ltd
BKG	Buka Gold Ltd
BKI	Brickworks Investment Company Ltd
BKL	Blackmores Laboratories Ltd
BKLKOB	Blackmores Limited
BKLKOP	Blackmores Limited
BKLKOQ	Blackmores Limited
BKT	Black Rock Mining Limited
BKW	Brickworks Ltd
BKWKOB	Brickworks Limited
BKWKOD	BKWKOD
BKY	Berkeley Resources Ltd
BLD	Boral Ltd
BLG	Blugass Ltd
BLGO	Bluglass Limited
BLU	Bluefreeway Ltd
BLX	Beacon Lighting Group Limited
BLY	Boart Longyear Ltd
BLYO	Boart Longyear Limited
BLZ	Blaze International Ltd
BLZOB	BLZOB
BME	Black Mountain Energy Ltd
BMG	Brazilian Metals Group Limited.
BMH	Baumart Holdings Limited
BML	Bank of Melbourne merger WBC
BMM	Bellamel Mining Ltd
BMN	Bannerman Resources Ltd
BMO	BMA Gold Ltd
BMR	Balmoral Corporation
BMT	Berkut Minerals Limited
BNKS	Betashares Global Banks Etf - Currency Hedged
BNL	Balkans Gold Ltd
BNO	Bionomics Ltd
BNR	Bulletin Resources Limited
BNRO	BNRO
BNZ	Benz Mining Corp.
BOA	Boadicea Resources Limited
BOAOA	BOAOA
BOC	Bougainville Copper Ltd (PNG)
BOD	bioMD Ltd
BOE	Boss Energy Ltd
BOL	Boom Logistics Ltd
BOND	Spdr S&p/asx Australian Bond Fund
BOQ	Bank of Queensland Ltd
BOQKOA	Bank Of Queensland Limited.
